Issue Key,Summary,Reporter,Assignee,Status,Created,Updated,Fixed By,Description,Issue Type
FE-21194,After user login the page is breaking .Getting an Application error: client-side exception,Jeevitha T,Jeevitha T,Accepted,2025-04-23T16:03:02.079+0530,2025-04-23T16:42:15.879+0530,Titans,"Can you please look into this. The page is breaking after login for x-project bb-pharma  Address is not coming in header  cc: [~accountid:63467e7725e69efe1301557d]   !Screenshot 2025-04-23 at 10.49.59 AM-20250423-053957.png|width=50%,alt=""""Screenshot 2025-04-23 at 10.49.59 AM-20250423-053957.png""""!     !Screenshot 2025-04-23 at 2.01.45 PM-20250423-083150.png|width=50%,alt=""""Screenshot 2025-04-23 at 2.01.45 PM-20250423-083150.png""""!  !Screenshot 2025-04-23 at 2.03.47 PM-20250423-083353.png|width=50%,alt=""""Screenshot 2025-04-23 at 2.03.47 PM-20250423-083353.png""""!",Transient Bug
FE-21148,Dynamic Rate limiting alert: Traffic dropped for API: /catalog_svc/rnr/api/external/v1/review/get_reviews.,resilience,supernovas,Duplicate Issue,2025-04-23T10:55:24.147+0530,2025-04-23T12:40:26.511+0530,Supernovas,Dynamic Rate limiting: Reason: Impacted resource/api : /catalog_svc/rnr/api/external/v1/review/get_reviews Timestamp: 2025-04-23 10:55:23  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /catalog_svc/rnr/api/external/v1/review/get_reviews Timestamp: 2025-04-23 11:00:27  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /catalog_svc/rnr/api/external/v1/review/get_reviews Timestamp: 2025-04-23 12:35:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /catalog_svc/rnr/api/external/v1/review/get_reviews Timestamp: 2025-04-23 12:40:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics,Bug
FE-21060,Spotlight video duration events triggering with very short span of interval and time in seconds not matching with duration,Nageswara Bandi,Poornima V,Ready for testing,2025-04-22T18:02:56.670+0530,2025-04-24T09:40:38.774+0530,Avengers,Spotlight video duration events triggering with very short span of interval and time in seconds not matching with duration,Transient Bug
FE-21043,Not able to create order again widget for L1 dy page,Anita Mugali,Anita Mugali,Accepted,2025-04-22T17:13:55.427+0530,2025-04-23T17:23:28.626+0530,Titans,"Steps to reproduce:  # We are not able to create widget for screen name l1_global(internal name )  # Here is curl for the same  {{curl --location --globoff '}}[http://qas31.bigbasket.com/api/internal/page/dynamic/screen/tree?city_ids=[1]&ec_group_id=1&device_type_slug=app-pwa|http://qas31.bigbasket.com/api/internal/page/dynamic/screen/tree?city_ids=[1]&ec_group_id=1&device_type_slug=app-pwa]{{'}}    {{curl --location --globoff '}}[http://qas31.bigbasket.com/api/internal/page/dynamic/screen/tree/slug_data?city_ids=[1]&ec_group_id=1&device_type_slug=app-pwa&list_type=PL_L1|http://qas31.bigbasket.com/api/internal/page/dynamic/screen/tree/slug_data?city_ids=[1]&ec_group_id=1&device_type_slug=app-pwa&list_type=PL_L1]{{'}}  !Screenshot 2025-04-22 at 5.11.24 PM.png|width=1728,height=1117,alt=""""Screenshot 2025-04-22 at 5.11.24 PM.png""""!  !Screenshot 2025-04-22 at 5.11.18 PM.png|width=1728,height=1117,alt=""""Screenshot 2025-04-22 at 5.11.18 PM.png""""!",Transient Bug
FE-21029,"After the subscription successful,some extra things are coming on UI which is not needed as compare to Play store app.",Sachin Dhumale,Sachin Dhumale,Ready for testing,2025-04-22T15:53:46.698+0530,2025-04-23T17:05:04.146+0530,Avengers,"After the subscription successful,some extra things are coming on UI which is not needed as per Play store app.",Transient Bug
FE-21028,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-wbkfb and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:53.114+0530,2025-04-22T16:40:11.325+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.6809303977272663 percentage with value: 64.68093039772727 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.415786Z.,Bug
FE-21027,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-twlwn and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:52.596+0530,2025-04-22T16:39:56.762+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.7373934659090935 percentage with value: 64.7373934659091 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.415220Z.,Bug
FE-21026,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-tcj82 and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:52.110+0530,2025-04-22T16:39:42.659+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 2.1669034090909065 percentage with value: 65.1669034090909 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.414651Z.,Bug
FE-21025,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-t5jpd and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:51.613+0530,2025-04-22T16:39:30.350+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.7958096590909065 percentage with value: 64.7958096590909 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.414086Z.,Bug
FE-21024,Infra monitoring alert: Metrics have been exceeded for the pod: ui-assembler-67cbdbfcdb-sg82m and container: ui-assembler,Pranav Maheshwary,Code Monks,Invalid Issue,2025-04-22T15:50:51.034+0530,2025-04-22T16:39:18.493+0530,UptimeSquad,Metrics have been exceeded for the namespace: ui-assembler and workload: ui-assembler and container: ui-assembler by 1.9066051136363598 percentage with value: 64.90660511363636 for metric: container_memory_usage_max_percentage at time: 2025-04-22T10:20:03.413508Z.,Bug
